#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am                       -56.52989156452621  -56.50804338338234  7.32791586244093e-05  
1am1p                     -56.85720843071624  -56.836108458398165 7.076965392613149e-05 
1w                        -76.40560891413422  -76.38419486077964  7.182308688436955e-05 
1ma                       -95.79628217717885  -95.76899244407186  9.153021333889366e-05 
2am                       -113.05536239990964 -113.02045741387666 0.00011707189680691298
2am1p                     -113.42236889249114 -113.39082517263601 0.00010579815480503784
1fd                       -114.46448368555511 -114.43901119244218 8.543516053307079e-05 
1ml                       -115.66633416851442 -115.63931120344769 9.063546894762405e-05 
1dma                      -135.06700818565287 -135.0362355765862  0.00010321183654763125
1dma1p                    -135.42339726550117 -135.3923168849227  0.00010424410725632145
1mea1p                    -135.42958406508953 -135.3984344728145  0.00010447624442407693
1am1ma                    -152.32051189482704 -152.28153352592955 0.00013073408987920903
2w                        -152.80828367218353 -152.77581757007198 0.00010889184005220647
3am                       -169.58213185913664 -169.5412013646672  0.00013728155113012494
1tma                      -174.33978756366545 -174.30727777203015 0.00010903837543289424
1p1tma                    -174.70431780018333 -174.670350920245   0.00011392547354795433
1p1propa                  -174.7112747831362  -174.67670670191225 0.00011594191254047396
1ipropa1p                 -174.71792251298405 -174.68364525671416 0.00011496648086498119
1fa                       -189.70263830925174 -189.67445686576045 9.452102462281888e-05 
1bda                      -190.39949752999792 -190.36586671494064 0.00011279830641385108
1eda                      -190.39950091260002 -190.3658687077267  0.00011280296787972302
1pxml                     -190.7743504249713  -190.743699701267   0.00010280303103906564
2ma                       -191.58593176089943 -191.54361922382353 0.00014191694474558443
1am1dma                   -191.59160340765067 -191.54930397639808 0.00014187298759885054
1gd                       -205.27722466010172 -205.24539244500508 0.00010676577258645716
1dma1p1w                  -211.84504464110537 -211.80460561982048 0.00013563314199192516
1mea1p1w                  -211.85152077359842 -211.8117208123164  0.0001334897242395251 
1dmea1p                   -213.98953934127618 -213.95224739885413 0.00012507778776471782
1buta1p                   -213.99192612302363 -213.9540048684988  0.00012718851089999384
1ibuta1p                  -213.9944464287783  -213.9568345480761  0.00012615086601440255
1dea1p                    -213.99769606545763 -213.95961965149644 0.00012770891819950363
1p1sbuta                  -213.99948649624923 -213.9618762785485  0.00012614528828021595
4am                       -226.1074775737201  -226.05931404272823 0.00016154127449898443
4am1p                     -226.60888363956914 -226.55884621609258 0.00016782634068952107
3w                        -229.21473268433704 -229.17739450142437 0.00012523287913015463
1mda                      -229.6704873884488  -229.63334803125545 0.00012456601439996123
1pda                      -229.67852053073145 -229.64198424438734 0.00012254330486035706
1dma1ma                   -230.85523876791174 -230.8109845709825  0.00014842930380430135
1am1tma                   -230.86424280138917 -230.8215468509139  0.00014320291958837283
1am1fa                    -246.23827359716435 -246.20220210637316 0.00012098437293704236
1am1eda                   -246.92363501133792 -246.88136658305967 0.00014176900311337084
1dma1ml1p                 -251.10618862210563 -251.06249599321754 0.00014654579536502426
1mea1ml1p                 -251.1133292966903  -251.06973897041163 0.00014620267073171798
1p1tma1w                  -251.12379712624065 -251.0810232496274  0.0001434642851358032 
1p1propa1w                -251.13313324873297 -251.08941989699125 0.00014661530015670215
1ipropa1p1w               -251.13815155116077 -251.0958407497281  0.00014191112336971477
1pxfa                     -264.8010377892546  -264.7700750803685  0.0001038494344663804 
1diABmda                  -268.93995611061905 -268.89979391653077 0.00013470465902484043
1diAAmda                  -268.9418203819248  -268.9023155103274  0.00013249998858758355
1put                      -268.95673507362255 -268.91614488404184 0.00013614016294045828
2dma                      -270.12598705749826 -270.07941648419    0.00015619846824841853
1ma1tma                   -270.12872517284364 -270.0830943393188  0.00015304656557060765
2dma1p                    -270.5165061476695  -270.4709241059285  0.0001528829171256313 
1nta                      -280.8075786450972  -280.7774388096576  0.00010108950340291773
1gd1w                     -281.6851766939685  -281.6468057634843  0.00012869673145809727
5am1p                     -283.04924390955796 -282.99180609809076 0.00019264736363301213
1fa1ma                    -285.5045119560119  -285.46490065825736 0.00013285694366775715
1eda1ma                   -286.1892592117014  -286.14457542232446 0.0001498701639341282 
3ma                       -287.3762060448132  -287.32595164724586 0.0001685540753558284 
1dma1p2w                  -288.2622358989257  -288.21276236904225 0.0001659350323108964 
1mea1p2w                  -288.2691115173556  -288.22048275838597 0.0001631016567823636 
