#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1w          -76.40560891413422  -76.38419486077964  7.182308688436955e-05 
1dma1p      -135.42339726550117 -135.3923168849227  0.00010424410725632145
1mea1p      -135.42958406508953 -135.3984344728145  0.00010447624442407693
1p1tma      -174.70431780018333 -174.670350920245   0.00011392547354795433
1p1propa    -174.7112747831362  -174.67670670191225 0.00011594191254047396
1ipropa1p   -174.71792251298405 -174.68364525671416 0.00011496648086498119
1dma1p1w    -211.84504464110537 -211.80460561982048 0.00013563314199192516
1mea1p1w    -211.85152077359842 -211.8117208123164  0.0001334897242395251 
1dmea1p     -213.98953934127618 -213.95224739885413 0.00012507778776471782
1buta1p     -213.99192612302363 -213.9540048684988  0.00012718851089999384
1ibuta1p    -213.9944464287783  -213.9568345480761  0.00012615086601440255
1dea1p      -213.99769606545763 -213.95961965149644 0.00012770891819950363
1p1sbuta    -213.99948649624923 -213.9618762785485  0.00012614528828021595
1p1tma1w    -251.12379712624065 -251.0810232496274  0.0001434642851358032 
1p1propa1w  -251.13313324873297 -251.08941989699125 0.00014661530015670215
1ipropa1p1w -251.13815155116077 -251.0958407497281  0.00014191112336971477
1dma1p2w    -288.2622358989257  -288.21276236904225 0.0001659350323108964 
1mea1p2w    -288.2691115173556  -288.22048275838597 0.0001631016567823636 
1dmea1p1w   -290.4077202204287  -290.3617412867585  0.0001542140991788439 
1dea1p1w    -290.4158034548143  -290.3696660834981  0.0001547455016476014 
1IIebuta1p  -292.5547922878304  -292.5109388001538  0.00014708531838552788
1p1tea      -292.5584951887041  -292.5147423955781  0.00014674758720795413
1dpropa1p   -292.55983509273227 -292.51550715240484 0.00014867664037377317
1ipropea1p  -292.5690992194755  -292.52544408587295 0.000146420035561059  
1p1tma2w    -327.53643211670334 -327.48604371964075 0.00016900351186515934
1p1propa2w  -327.54889484015666 -327.49767127418875 0.00017180468209925247
1ipropa1p2w -327.5547014063677  -327.5036132095143  0.0001713506518645422 
1dma1p3w    -364.6728682000337  -364.6163111510815  0.0001896932716826013 
1mea1p3w    -364.6822255120462  -364.6254966208457  0.0001902696334077804 
1dmea1p2w   -366.8193742471239  -366.7663373352142  0.00017788667418983133
1dea1p2w    -366.8304864712334  -366.7762444269722  0.00018192870790286158
1p1tma3w    -403.94563900946724 -403.8876802740923  0.000194394550980927  
1p1propa3w  -403.9599155317114  -403.901263799622   0.0001967188733503974 
1ipropa1p3w -403.9648968455573  -403.9103099215304  0.000183085440304711  
1nona1p     -410.3921719732501  -410.3410828822622  0.0001713536508061668 
1dbma1p     -410.39744986972124 -410.34507396628356 0.00017566964091128538
1p1tpropa   -410.40234517315383 -410.35066690066986 0.00017332977522703733
1dmea1p3w   -443.2278485385522  -443.16850017090877 0.0001990554004475452 
1dea1p3w    -443.2409366780586  -443.1795457705686  0.00020590611266138408
1dpenta1p   -449.68066470621915 -449.6251410780335  0.0001862271614478501 
1dhexa1p    -528.2405002686509  -528.1801002014014  0.0002025828182104118 
1p1tbuta    -528.2435979866242  -528.1842942661505  0.00019890565310659445
1p1tibuta   -528.2493455486946  -528.1891495951288  0.00020189821756082008
