#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1msa      -719.998855697137   -719.9567623387301  0.00014118181588781598
1ma1msa      -759.1998614212313  -759.1550644322286  0.00015024983733912453
2am1msa      -776.4612797192174  -776.4143839133674  0.00015728930353890386
1dma1msa     -798.4107725781198  -798.3629995008037  0.00016023168645418588
1am1ma1msa   -815.6680533797646  -815.6173893230891  0.00016992807873702107
1eda1msa     -853.679836389144   -853.631242387493   0.00016298508016492405
2ma1msa      -854.8695126387895  -854.816739058878   0.00017700345433948415
1am1dma1msa  -854.8715257952049  -854.8168270557198  0.0001834604711895325 
1dma1ma1msa  -894.0805182039937  -894.0244313699056  0.00018811616330023905
1am1msa1tma  -894.0844614682654  -894.0279438639133  0.00018956097384585668
1am1eda1msa  -910.1467739731752  -910.0912708459755  0.00018615840080419483
1ma1msa1tma  -933.2843431239558  -933.2252173757593  0.00019830873116366294
2dma1msa     -933.288225541869   -933.2286369530091  0.00019986110635597312
1eda1ma1msa  -949.3480512265722  -949.289948281399   0.00019487823301435447
1dma1msa1tma -972.4941921457344  -972.4322836090719  0.00020764224941304023
1dma1eda1msa -988.5553418680482  -988.494687765134   0.00020343485800452103
1msa2tma     -1011.6970220023649 -1011.6315085212235 0.00021973329244164247
1eda1msa1tma -1027.760765614116  -1027.697736589883  0.00021140038313817366
2eda1msa     -1043.8279405372405 -1043.766764328731  0.00020518600875191054
2msa         -1327.0680341918217 -1327.0176622768506 0.00016894823066016795
1am2msa      -1383.5428230294508 -1383.4866486872804 0.0001884096668458595 
1ma2msa      -1422.7517200594514 -1422.6928948127172 0.00019730084432046033
2am2msa      -1440.0194977680635 -1439.959624855182  0.00020081473379653214
1dma2msa     -1461.9634859895757 -1461.9016372668123 0.0002074416326125835 
1am1ma2msa   -1479.2287531332697 -1479.163805193108  0.00021783645870139474
2msa1tma     -1501.168783836184  -1501.1046698333203 0.0002150394192979502 
1eda2msa     -1517.2346709056847 -1517.173879272621  0.0002038961363851838 
2ma2msa      -1518.4348283876739 -1518.3642167720745 0.00023683251920005814
1am1dma2msa  -1518.438831351445  -1518.3707808726167 0.0002282424243773906 
1am2msa1tma  -1557.6388620762202 -1557.5693357219586 0.0002331925348377975 
1dma1ma2msa  -1557.6455960843132 -1557.5751475141828 0.00023628566201701034
1am1eda2msa  -1573.7054550585976 -1573.6359986783614 0.00023295784080431089
1ma2msa1tma  -1596.8471646194662 -1596.773756671937  0.00024621146244997846
2dma2msa     -1596.8571886366187 -1596.7813149706246 0.000254481522704143  
1eda1ma2msa  -1612.9136623666648 -1612.840534212048  0.0002452730324224851 
1dma2msa1tma -1636.0569688513997 -1635.9811721719898 0.00025422330843657373
1dma1eda2msa -1652.124487618724  -1652.049316465297  0.00025212528400952967
2msa2tma     -1675.2579674418457 -1675.1817647088542 0.00025558521882215876
1eda2msa1tma -1691.3243385514613 -1691.2461500411252 0.00026224554866980125
2eda2msa     -1707.3920468716085 -1707.31770475169   0.0002493446919953863 
